matrix,version,threads,time
matrix1.mtx,seq,1,0.0897058
matrix1.mtx,static,1,0.0728192
matrix1.mtx,static,2,0.0359896
matrix1.mtx,static,4,0.0210581
matrix1.mtx,static,8,0.0202317
matrix1.mtx,static,16,0.024488199999999998
matrix1.mtx,dynamic,1,0.1438779
matrix1.mtx,dynamic,2,0.26334979999999997
matrix1.mtx,dynamic,4,0.3338411
matrix1.mtx,dynamic,8,1.0078244
matrix1.mtx,dynamic,16,0.9499596
matrix1.mtx,guided,1,0.0666339
matrix1.mtx,guided,2,0.0480528
matrix1.mtx,guided,4,0.029375699999999998
matrix1.mtx,guided,8,0.0495659
matrix1.mtx,guided,16,0.0915439
matrix2.mtx,seq,1,2.4649286200000002
matrix2.mtx,static,1,2.6379333
matrix2.mtx,static,2,0.5074767
matrix2.mtx,static,4,0.20275759999999998
matrix2.mtx,static,8,0.1069728
matrix2.mtx,static,16,0.06711199999999999
matrix2.mtx,dynamic,1,2.9791036
matrix2.mtx,dynamic,2,2.2072542
matrix2.mtx,dynamic,4,1.7283192
matrix2.mtx,dynamic,8,4.673151
matrix2.mtx,dynamic,16,3.4736807
matrix2.mtx,guided,1,2.8483083999999996
matrix2.mtx,guided,2,0.5661557
matrix2.mtx,guided,4,0.20148169999999999
matrix2.mtx,guided,8,0.2904973
matrix2.mtx,guided,16,0.1549998
matrix3.mtx,seq,1,22.06580182
matrix3.mtx,static,1,17.6300052
matrix3.mtx,static,2,12.5811594
matrix3.mtx,static,4,9.5170119
matrix3.mtx,static,8,6.8756252
matrix3.mtx,static,16,3.7334301000000005
matrix3.mtx,dynamic,1,37.660893
matrix3.mtx,dynamic,2,158.069747
matrix3.mtx,dynamic,4,74.9903198
matrix3.mtx,dynamic,8,177.7484661
matrix3.mtx,dynamic,16,192.9111675
matrix3.mtx,guided,1,22.3881375
matrix3.mtx,guided,2,14.807470799999999
matrix3.mtx,guided,4,5.845439300000001
matrix3.mtx,guided,8,7.0781807
matrix3.mtx,guided,16,4.8571662
matrix4.mtx,seq,1,0.18605654000000002
matrix4.mtx,static,1,0.1395529
matrix4.mtx,static,2,0.0738448
matrix4.mtx,static,4,0.03629400000000001
matrix4.mtx,static,8,0.0264801
matrix4.mtx,static,16,0.0243974
matrix4.mtx,dynamic,1,0.31288
matrix4.mtx,dynamic,2,0.7671598
matrix4.mtx,dynamic,4,0.9027091
matrix4.mtx,dynamic,8,2.1042763
matrix4.mtx,dynamic,16,2.4183836
matrix4.mtx,guided,1,0.1283784
matrix4.mtx,guided,2,0.0693674
matrix4.mtx,guided,4,0.0421382
matrix4.mtx,guided,8,0.0741671
matrix4.mtx,guided,16,0.1425159
matrix5.mtx,seq,1,0.40386242000000006
matrix5.mtx,static,1,0.247821
matrix5.mtx,static,2,0.1721088
matrix5.mtx,static,4,0.081536
matrix5.mtx,static,8,0.056940599999999994
matrix5.mtx,static,16,0.0345278
matrix5.mtx,dynamic,1,0.5986503
matrix5.mtx,dynamic,2,1.4099045000000001
matrix5.mtx,dynamic,4,1.7420666999999999
matrix5.mtx,dynamic,8,3.9623572000000005
matrix5.mtx,dynamic,16,3.5832287000000003
matrix5.mtx,guided,1,0.2452408
matrix5.mtx,guided,2,0.1346331
matrix5.mtx,guided,4,0.06912599999999999
matrix5.mtx,guided,8,0.0953721
matrix5.mtx,guided,16,0.1151332
